Country,Secure_Internet_Servers_per_million,Secure_Internet_Servers_alt,Telecommunication_Infrastructure_Index
Afghanistan,-0.14242142062897006,-2.016570815524937,-1.886738297852708
Albania,-0.14210121315405375,0.5234390065510487,0.2703047833318466
Algeria,-0.141834755535044,0.2826429683725918,0.4168639307914614
Andorra,-0.1425530869426637,1.0011472758405695,0.8425539196031091
Angola,-0.14249142044131352,-0.9640591002610348,-1.2852777944632092
Antigua and Barbuda,-0.14278371132440237,0.30982961784435264,0.34484013673274205
Argentina,-0.09108301659106922,0.760351237662112,0.531391036794704
Armenia,-0.14207246323112696,0.40304098746182027,0.6693336037419296
Australia,0.1213880804798842,1.067171995986275,0.9501645775717431
Austria,-0.0623620519199967,0.9817282405035971,1.0662372585547868
Azerbaijan,-0.14163642273340424,0.7525836235273229,0.4456116254157571
Bahamas,-0.14226392105119728,0.9778444334362023,0.6190251381494121
Bahrain,-0.1409666328623203,1.179802400940715,1.092396115087916
Bangladesh,-0.1289331234552667,-0.9757105214632181,-0.2121850859874824
Barbados,-0.14273704478284008,0.40304098746182027,0.2217350895916047
Belarus,-0.11995523085666956,0.8496788002121848,0.8137289462298237
Belgium,-0.060181432765833334,0.9700768193014133,0.6368765291661116
Belize,-0.1080529710977599,0.10787165033984045,-0.6794510417557729
Benin,-0.1427628780469192,-1.4534187907527383,-0.8628335131091431
Bhutan,-0.14259829515480216,0.7292807811229564,0.43251287746194494
Bolivia,-0.1419662135159628,0.0224278948571619,0.01501443604324171
Bosnia and Herzegovina,-0.13925205412545547,0.5350904277532326,0.27536654139069405
Botswana,-0.14257142022684888,0.4574142864053431,0.6179818750380465
Brazil,0.10479166663846674,0.5661608842923883,0.3934871092219736
Brunei Darussalam,-0.1419603801982675,1.1409643302667705,1.0888026532598791
Bulgaria,-0.07013515608174213,0.41857621573139836,0.8193702949060968
Burkina Faso,-0.14269100323960227,-2.0437574649966983,-1.317580311541047
Burundi,-0.1427699613612635,-2.2729020819729726,-2.596427689202761
Cabo Verde,-0.1426957948934234,0.15059352808117943,-0.3563872316029013
Cambodia,-0.1419891301211943,-0.34653377654531314,0.21609374091533157
Cameroon,-0.1426985032194962,-1.0766895052154744,-1.2943194080950442
Canada,0.21264866916045855,0.9467739768970467,0.39723512854799076
Central African Republic,-0.14279662795644193,-2.4123307556924343,-2.724130821908806
Chile,-0.09242384632988603,0.966193012234019,0.9293379547189267
China,0.30050655862970677,0.3059458107769584,0.7516354714163246
Colombia,-0.1307097853590314,0.2981781966421693,0.39228928861262824
Comoros,-0.14279600295811745,-1.3174855433939316,-1.3575334247688988
Costa Rica,-0.14071809186194612,0.612766569101122,0.7274085836079464
Croatia,-0.11914148303817695,0.5273228136184436,0.8229251173596385
Cuba,-0.14241058732467882,0.0651497725985009,-0.6691729681400972
Cyprus,0.01332232851751103,0.8380273790100015,0.7304610941930529
Czech Republic,0.03861163572155585,0.6360694115054887,0.8323531247364236
Democratic Republic of the Congo,-0.14260475347082194,-1.5194435108984445,-2.109532931191
Denmark,0.18089042096511473,1.172034786805926,1.1267465190139896
Djibouti,-0.14278412798995205,-0.17953007264735088,-1.2403015625510048
Dominica,-0.14187767208665933,0.5506256560228102,-0.11342284477820827
Dominican Republic,-0.1422882959858526,0.5816961125619659,0.15218421550056663
Ecuador,-0.14101892438880306,0.2942943895747751,-0.08370916579153713
Egypt,-0.14152746469216726,0.11952307154202375,-0.040394426982618664
El Salvador,-0.1425603785897828,-0.07466728182769995,0.18402306008446412
Eritrea,-0.14279912794973992,-1.9272432529748642,-2.181093052755779
Estonia,-0.11076213050167129,0.9157035203578909,1.035828070827205
Eswatini,-0.1427635030452437,-0.4669317956345419,0.30948510906979776
Ethiopia,-0.1423310042046931,-2.0554088861988817,-1.6966325753372042
Fiji,-0.14275516973425043,0.37585433799005885,0.17641110330894486
Finland,0.03619768385958098,0.9273549415600743,1.0590116955242177
France,0.5981547190233741,0.6671398680446444,0.8415492958662388
Gabon,-0.14277704467560776,0.08845261500286808,0.46864069261478997
Gambia,-0.1427699613612635,-0.9213372225196955,-1.226236830234817
Georgia,-0.13873413884722385,0.47683332174231546,0.7809627566580456
Germany,2.2859343610649874,0.9273549415600743,0.8445631670768505
Ghana,-0.14246037885786358,0.010776473654978589,0.0893565925716625
Greece,-0.1119519189787351,0.5972313408315439,0.6208025493761831
Grenada,-0.14278433632272688,0.17389637048554607,-0.1092497923327461
Guatemala,-0.14238704572112282,-0.5251889016454591,-0.4665480882882067
Guinea,-0.14276787803351518,-1.6747957935942235,-1.0537506624890425
Guinea-Bissau,-0.1427964196236671,-1.441767369550555,-0.8299127660393852
Guyana,-0.1427818363294289,0.4690657076075264,-0.041862723213429216
Haiti,-0.14278141966387922,-1.177668488967731,-1.9175725186997348
Honduras,-0.14249287877073732,-0.43974514616278076,-0.8697499611437519
Hungary,-0.035451499062211615,0.8496788002121848,0.4760208131433389
Iceland,-0.13580081337759356,1.172034786805926,1.1331992945546583
India,0.14663613779451234,-0.532956515780248,-0.5215319181946216
Indonesia,0.016681277846122475,-0.016410175816782842,0.6161658244367806
Iran,-0.01822487857692829,0.3875057591922421,0.7483511245842478
Iraq,-0.1423895457144208,0.4690657076075264,-0.06821477661903382
Ireland,0.023112927270726613,1.0438691535819085,0.9847468177447871
Israel,-0.11627878237921462,0.6749074821794334,1.048347228163592
Italy,0.22885008406079507,0.6749074821794334,0.759865658183764
Jamaica,-0.14268641991855596,0.5350904277532326,0.09511385937142061
Japan,0.6795715840931509,0.6749074821794334,0.9501259381972482
Jordan,-0.142363295784792,0.8885168708861295,-0.2128805947283926
Kazakhstan,-0.11817398563185856,0.9040520991557076,0.8443313308298801
Kenya,-0.13937372046595717,-1.344672192865693,-0.4438281360851343
Kiribati,-0.14279871128419025,0.7137455528533782,-1.3548286685542474
Kuwait,-0.14240954566080466,1.1681509797385319,1.1352858207773895
Kyrgyzstan,-0.14159183951959023,0.7331645881903506,0.6820845973252866
Laos,-0.14236162912259337,-0.23390337159087346,-0.6614837326155882
Latvia,-0.132563322056709,0.8768654496839462,1.00831683618675
Lebanon,-0.14198621346234663,0.5389742348206269,-0.24170556810167845
Lesotho,-0.14275641973089942,-0.8397772741044115,-0.93022058222846
Liberia,-0.14278871131099835,-1.7913100056160576,-2.2458140050349398
Libya,-0.14262850340715277,0.7331645881903506,1.0003184856662806
Lithuania,-0.08482949168894618,0.7331645881903506,0.9971886963321839
