Country,ICT Goods Imports,ICT Service Exports
Afghanistan,-1.061611926067413,-1.263258728543176e-16
Albania,0.6704399538140476,-0.7732573689827287
Algeria,0.37430628840559926,-0.4039933986163864
Andorra,0.6559037500502028,-1.263258728543176e-16
Angola,-1.0920787693318037,-0.9118806947831379
Antigua and Barbuda,-0.609170406884533,-1.263258728543176e-16
Argentina,2.0310621340233386,-0.3234114021114488
Armenia,0.5565081426097404,-0.7425014845169835
Australia,2.005110672183028,1.1621782885241514
Austria,1.6279987319720761,2.693019908038157
Azerbaijan,-0.07993996060973664,-0.7417846537702985
Bahamas,-0.9498557988821307,-1.263258728543176e-16
Bahrain,0.9028965642797365,-0.833517498666011
Bangladesh,-0.6463422976641784,-1.263258728543176e-16
Barbados,0.6803709045452343,-1.263258728543176e-16
Belarus,0.7454405248159153,-0.2904595007697874
Belgium,1.2763199357332422,2.926232190113768
Belize,-0.6807177126855657,-1.263258728543176e-16
Benin,-1.0683789423718086,-1.263258728543176e-16
Bhutan,-0.9276462277805955,-1.263258728543176e-16
Bolivia,0.010468608620560142,-0.7699803751387687
Bosnia and Herzegovina,0.03560211923912725,-0.7298373107588781
Botswana,-0.7101147127921134,-0.3102921006809521
Brazil,0.5309416783530239,0.354503631159178
Brunei Darussalam,-0.18017486032947905,-0.6327110681517352
Bulgaria,1.2941870615664635,-0.09044958183133055
Burkina Faso,-1.083781635998298,-0.6627273510752789
Burundi,-1.2106809912515664,-0.7061246724139575
Cabo Verde,-0.7607020338666478,-0.8732737053721293
Cambodia,-0.8330214198807538,-0.8140945272241333
Cameroon,-0.9029899166996045,-1.263258728543176e-16
Canada,1.0750526675812193,0.9872235692867436
Central African Republic,-1.3231120063840223,-1.263258728543176e-16
Chile,1.7831506731224946,-0.5385318717483968
China,0.9949893599573685,1.9587703674969514
Colombia,0.4955590635365989,-0.6193300466917708
Comoros,-1.101163590059818,-1.263258728543176e-16
Costa Rica,0.34858737050236016,-0.5641560870097642
Croatia,1.1859417836423942,0.6480327833999803
Cuba,0.16289367774916388,-0.538861853298895
Cyprus,1.749947421817771,-0.10062187096836538
Czech Republic,0.866092070843741,1.2863282601703476
Democratic Republic of the Congo,-1.1963772547687146,-0.48622526896347584
Denmark,1.3088885972011988,2.3403230393453867
Djibouti,-1.2432161386737366,-1.263258728543176e-16
Dominica,-1.1875631373830813,-1.263258728543176e-16
Dominican Republic,0.3629772531074787,-1.263258728543176e-16
Ecuador,0.5145171589481092,-0.44980294917976144
Egypt,-0.1445154250141008,0.22740671504021925
El Salvador,-0.37452357840375305,-0.7861377381344442
Eritrea,-1.3139631778146736,-1.263258728543176e-16
Estonia,0.8857241266636471,1.0790702766376288
Eswatini,-1.2121419798120339,-0.6442032834907664
Ethiopia,-1.1619165368421362,-0.6364318127479124
Fiji,0.5288058555046494,-1.263258728543176e-16
Finland,1.9634244731646726,2.424728054041851
France,0.8855671349761589,1.5923167507406393
Gabon,-0.9368643994556554,-0.2895378176393222
Gambia,-1.3251337113001878,-0.8697350169314593
Georgia,1.1704165322473739,-0.6609409541910646
Germany,1.0767226666568734,2.6155100869037446
Ghana,-0.7037066309982118,-0.5201671149566331
Greece,3.947885503143749,0.7421665399433217
Grenada,1.7045407651054691,-1.263258728543176e-16
Guatemala,-0.5337038281353137,-0.8819099280178677
Guinea,-1.1947166230681623,-1.263258728543176e-16
Guinea-Bissau,-1.3295590984658943,-1.263258728543176e-16
Guyana,-1.0366453417665606,-1.263258728543176e-16
Haiti,-1.377091823538175,-1.263258728543176e-16
Honduras,-0.6977932569945317,-0.8803852214915711
Hungary,0.45633738871230983,0.6383611465711929
Iceland,1.3217052513880234,2.0102234808517547
India,-0.3459723096886661,-0.21405339348858862
Indonesia,0.040451813235194874,-0.6292520435850253
Iran,0.5407131844016059,-0.12180851088687034
Iraq,-0.9123981954962346,-0.9023114417583123
Ireland,1.0522631164467056,0.14671088151287026
Israel,0.4424371239325459,5.9003241985903365
Italy,0.9651719778126424,0.6331385467813038
Jamaica,-0.5614997583289959,-0.8792587580368045
Japan,0.667208132747397,2.92615243298637
Jordan,-0.3478957031599102,-0.1572864615204605
Kazakhstan,0.4067222509275223,-0.7839530812235284
Kenya,-1.070902859710133,-0.02840301287590466
Kiribati,0.010468608620560142,-1.263258728543176e-16
Kuwait,0.5684766737348644,-0.8375682163351011
Kyrgyzstan,0.3903405362873992,-0.8817620111004618
Laos,-0.9316218276291611,-0.9064076755856763
